Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas
freeCodeCamp,2014-12-24T17:49:19Z,24401,0,2025-02-26T14:02:23Z,TypeScript,18776,178
free-programming-books,2013-10-11T06:50:37Z,6787,0,2025-02-26T14:02:03Z,HTML,1132,29
awesome,2014-07-11T13:42:37Z,661,0,2025-02-26T14:04:47Z,N/A,335,12
build-your-own-x,2018-05-09T12:03:18Z,140,0,2025-02-26T14:04:27Z,Markdown,542,191
public-apis,2016-03-20T23:49:42Z,1872,0,2025-02-26T13:52:37Z,Python,603,51
coding-interview-university,2016-06-06T02:34:12Z,415,0,2025-02-26T13:50:41Z,N/A,458,53
developer-roadmap,2017-03-15T13:45:52Z,3340,1,2025-02-26T13:56:57Z,TypeScript,2530,147
system-design-primer,2017-02-26T16:15:28Z,199,0,2025-02-26T13:55:18Z,Python,87,235
996.ICU,2019-03-26T07:31:14Z,1068,0,2025-02-26T13:37:08Z,N/A,0,0
awesome-python,2014-06-27T21:00:06Z,543,0,2025-02-26T13:51:39Z,Python,0,0
react,2013-05-24T16:15:54Z,11374,103,2025-02-26T13:19:01Z,JavaScript,12775,771
project-based-learning,2017-04-12T05:07:46Z,182,0,2025-02-26T13:56:05Z,N/A,78,113
awesome-selfhosted,2015-06-01T02:33:17Z,2393,1,2025-02-26T13:47:22Z,N/A,803,0
vue,2013-07-29T03:24:51Z,1136,249,2025-02-26T12:31:06Z,TypeScript,9664,355
Python,2016-07-16T09:44:01Z,2914,0,2025-02-26T13:36:21Z,Python,1492,64
javascript-algorithms,2018-03-24T07:47:04Z,302,0,2025-02-26T12:37:13Z,JavaScript,227,129
linux,2011-09-04T22:48:12Z,10,0,2025-02-26T14:00:02Z,C,0,0
tensorflow,2015-11-07T01:19:20Z,29387,214,2025-02-26T13:49:11Z,C++,39480,786
You-Dont-Know-JS,2013-11-16T02:37:24Z,367,0,2025-02-26T13:48:45Z,N/A,855,81
CS-Notes,2018-02-13T14:56:24Z,374,0,2025-02-26T13:15:41Z,N/A,448,148
ohmyzsh,2009-08-28T18:15:37Z,3289,0,2025-02-26T13:28:44Z,Shell,4762,133
computer-science,2014-05-04T00:18:39Z,283,0,2025-02-26T13:10:41Z,N/A,629,13
AutoGPT,2023-03-16T09:21:07Z,2597,42,2025-02-26T14:03:00Z,Python,2980,170
bootstrap,2011-07-29T21:19:00Z,8845,89,2025-02-26T13:14:04Z,JavaScript,22127,495
flutter,2015-03-06T22:54:58Z,40989,7,2025-02-26T13:39:27Z,Dart,90684,12998
vscode,2015-09-03T20:23:38Z,31480,156,2025-02-26T13:44:40Z,TypeScript,182285,8788
gitignore,2010-11-08T20:17:14Z,1575,0,2025-02-26T13:52:11Z,N/A,0,0
Python-100-Days,2018-03-01T16:05:52Z,13,0,2025-02-26T13:48:50Z,Jupyter Notebook,114,548
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,122,0,2025-02-26T13:51:47Z,N/A,0,0
the-art-of-command-line,2015-05-20T15:11:03Z,317,0,2025-02-26T12:37:53Z,N/A,136,118
stable-diffusion-webui,2022-08-22T14:05:26Z,1871,27,2025-02-26T13:22:01Z,Python,5450,2302
JavaGuide,2018-05-07T13:27:00Z,1143,0,2025-02-26T13:22:25Z,Java,1008,65
javascript,2012-11-01T23:13:50Z,811,0,2025-02-26T12:03:50Z,JavaScript,1252,95
transformers,2018-10-29T13:56:00Z,14647,180,2025-02-26T13:51:20Z,Python,15735,997
awesome-go,2014-07-06T13:42:15Z,3397,0,2025-02-26T13:51:44Z,Go,664,5
youtube-dl,2010-10-31T14:35:07Z,1639,341,2025-02-26T13:27:43Z,Python,22999,3690
next.js,2016-10-05T23:32:51Z,21009,1000,2025-02-26T13:47:13Z,JavaScript,19859,2575
ollama,2023-06-26T19:39:32Z,2020,115,2025-02-26T14:04:07Z,Go,4714,1409
fucking-algorithm,2020-02-19T09:01:23Z,238,1,2025-02-26T13:48:02Z,Markdown,881,1
go,2014-08-19T04:33:40Z,1,0,2025-02-26T13:46:04Z,Go,56455,9170
30-seconds-of-code,2017-11-29T17:35:03Z,821,11,2025-02-26T13:59:18Z,JavaScript,296,0
tech-interview-handbook,2016-07-05T05:00:48Z,466,0,2025-02-26T13:42:04Z,TypeScript,70,37
Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,6,19,2025-02-26T13:59:26Z,Batchfile,575,2
awesome-chatgpt-prompts,2022-12-05T13:54:13Z,158,0,2025-02-26T13:47:47Z,HTML,0,0
react-native,2015-01-09T18:10:16Z,886,375,2025-02-26T13:27:37Z,C++,26076,585
scrcpy,2017-11-21T18:00:27Z,109,44,2025-02-26T13:52:41Z,C,3017,2216
electron,2013-04-12T01:47:36Z,21605,1000,2025-02-26T13:19:03Z,C++,19702,857
PowerToys,2019-05-01T17:44:02Z,5098,109,2025-02-26T13:31:17Z,C#,25767,5850
kubernetes,2014-06-06T22:56:04Z,60770,722,2025-02-26T13:59:18Z,Go,44811,1905
free-programming-books-zh_CN,2013-11-04T01:59:19Z,282,3,2025-02-26T10:54:41Z,N/A,0,0
d3,2010-09-27T17:22:42Z,491,194,2025-02-26T12:39:02Z,Shell,2215,9
node,2014-11-26T19:57:11Z,9788,429,2025-02-26T14:01:17Z,JavaScript,17169,1638
hello-algo,2022-11-04T11:08:34Z,906,9,2025-02-26T14:05:01Z,Java,235,19
axios,2014-08-18T22:30:27Z,938,89,2025-02-26T13:41:23Z,JavaScript,4198,566
three.js,2010-03-23T18:58:01Z,13725,165,2025-02-26T13:37:35Z,JavaScript,12431,423
create-react-app,2016-07-17T14:55:11Z,1949,83,2025-02-26T12:37:02Z,JavaScript,6562,1810
TypeScript,2014-06-17T15:28:39Z,14554,206,2025-02-26T13:51:46Z,TypeScript,36202,5526
yt-dlp,2020-10-26T04:22:55Z,2537,104,2025-02-26T13:58:18Z,Python,7223,1513
deno,2018-05-15T01:34:26Z,12399,313,2025-02-26T12:27:44Z,Rust,10161,1977
nodebestpractices,2017-09-15T08:33:19Z,765,0,2025-02-26T14:02:10Z,Dockerfile,284,41
langchain,2022-10-17T02:58:36Z,13237,811,2025-02-26T14:04:06Z,Jupyter Notebook,7883,342
rust,2010-06-16T20:39:03Z,61447,135,2025-02-26T13:56:08Z,Rust,46729,10029
