Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas
freeCodeCamp,2014-12-24T17:49:19Z,24283,0,2025-02-12T23:55:00Z,TypeScript,100,0
free-programming-books,2013-10-11T06:50:37Z,6786,0,2025-02-13T00:28:19Z,HTML,100,0
awesome,2014-07-11T13:42:37Z,661,0,2025-02-13T00:32:39Z,N/A,96,4
build-your-own-x,2018-05-09T12:03:18Z,140,0,2025-02-13T00:35:14Z,Markdown,100,0
public-apis,2016-03-20T23:49:42Z,1872,0,2025-02-13T00:29:18Z,Python,100,0
coding-interview-university,2016-06-06T02:34:12Z,415,0,2025-02-13T00:08:46Z,N/A,83,17
developer-roadmap,2017-03-15T13:45:52Z,3312,1,2025-02-13T00:28:38Z,TypeScript,100,0
system-design-primer,2017-02-26T16:15:28Z,199,0,2025-02-13T00:16:02Z,Python,38,62
996.ICU,2019-03-26T07:31:14Z,1068,0,2025-02-12T20:35:58Z,N/A,0,0
awesome-python,2014-06-27T21:00:06Z,543,0,2025-02-13T00:34:32Z,Python,0,0
react,2013-05-24T16:15:54Z,11333,103,2025-02-12T23:40:17Z,JavaScript,100,0
project-based-learning,2017-04-12T05:07:46Z,182,0,2025-02-13T00:33:12Z,N/A,61,39
awesome-selfhosted,2015-06-01T02:33:17Z,2393,1,2025-02-13T00:08:10Z,N/A,100,0
vue,2013-07-29T03:24:51Z,1136,249,2025-02-13T00:28:18Z,TypeScript,100,0
Python,2016-07-16T09:44:01Z,2910,0,2025-02-13T00:27:34Z,Python,100,0
javascript-algorithms,2018-03-24T07:47:04Z,302,0,2025-02-13T00:28:44Z,JavaScript,70,30
tensorflow,2015-11-07T01:19:20Z,28921,213,2025-02-13T00:36:23Z,C++,100,0
linux,2011-09-04T22:48:12Z,10,0,2025-02-13T00:28:13Z,C,0,0
You-Dont-Know-JS,2013-11-16T02:37:24Z,367,0,2025-02-13T00:08:24Z,N/A,99,1
CS-Notes,2018-02-13T14:56:24Z,374,0,2025-02-12T20:44:17Z,N/A,100,0
ohmyzsh,2009-08-28T18:15:37Z,3286,0,2025-02-12T22:38:12Z,Shell,100,0
computer-science,2014-05-04T00:18:39Z,281,0,2025-02-13T00:18:11Z,N/A,100,0
AutoGPT,2023-03-16T09:21:07Z,2571,41,2025-02-13T00:27:49Z,Python,100,0
bootstrap,2011-07-29T21:19:00Z,8842,89,2025-02-13T00:28:12Z,JavaScript,100,0
flutter,2015-03-06T22:54:58Z,40772,7,2025-02-13T00:36:27Z,Dart,99,1
vscode,2015-09-03T20:23:38Z,31010,155,2025-02-13T00:19:17Z,TypeScript,100,0
gitignore,2010-11-08T20:17:14Z,1573,0,2025-02-12T23:04:43Z,N/A,0,0
Python-100-Days,2018-03-01T16:05:52Z,13,0,2025-02-13T00:27:02Z,Jupyter Notebook,42,58
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,122,0,2025-02-13T00:27:56Z,N/A,0,0
the-art-of-command-line,2015-05-20T15:11:03Z,317,0,2025-02-12T19:30:48Z,N/A,66,34
JavaGuide,2018-05-07T13:27:00Z,1122,0,2025-02-12T18:32:48Z,Java,99,1
stable-diffusion-webui,2022-08-22T14:05:26Z,1869,27,2025-02-13T00:34:31Z,Python,100,0
javascript,2012-11-01T23:13:50Z,811,0,2025-02-12T23:01:39Z,JavaScript,97,3
transformers,2018-10-29T13:56:00Z,14528,177,2025-02-13T00:35:51Z,Python,100,0
awesome-go,2014-07-06T13:42:15Z,3392,0,2025-02-12T23:37:42Z,Go,100,0
youtube-dl,2010-10-31T14:35:07Z,1639,341,2025-02-13T00:14:44Z,Python,99,1
next.js,2016-10-05T23:32:51Z,20735,1000,2025-02-12T23:37:42Z,JavaScript,100,0
fucking-algorithm,2020-02-19T09:01:23Z,238,1,2025-02-12T23:37:59Z,Markdown,100,0
go,2014-08-19T04:33:40Z,1,0,2025-02-12T23:36:12Z,Go,100,0
ollama,2023-06-26T19:39:32Z,1970,112,2025-02-13T00:34:55Z,Go,96,4
30-seconds-of-code,2017-11-29T17:35:03Z,821,11,2025-02-12T23:20:52Z,JavaScript,100,0
tech-interview-handbook,2016-07-05T05:00:48Z,466,0,2025-02-13T00:07:12Z,TypeScript,68,32
react-native,2015-01-09T18:10:16Z,886,372,2025-02-13T00:35:48Z,C++,100,0
awesome-chatgpt-prompts,2022-12-05T13:54:13Z,157,0,2025-02-13T00:15:25Z,HTML,0,0
scrcpy,2017-11-21T18:00:27Z,109,44,2025-02-13T00:29:40Z,C,88,12
Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,6,18,2025-02-13T00:29:11Z,Batchfile,100,0
electron,2013-04-12T01:47:36Z,21433,1000,2025-02-12T22:51:25Z,C++,100,0
PowerToys,2019-05-01T17:44:02Z,5060,109,2025-02-13T00:28:49Z,C#,64,36
kubernetes,2014-06-06T22:56:04Z,60650,717,2025-02-12T23:16:35Z,Go,100,0
free-programming-books-zh_CN,2013-11-04T01:59:19Z,282,3,2025-02-12T22:41:52Z,N/A,0,0
d3,2010-09-27T17:22:42Z,491,194,2025-02-13T00:07:48Z,Shell,100,0
node,2014-11-26T19:57:11Z,9714,427,2025-02-13T00:28:25Z,JavaScript,100,0
hello-algo,2022-11-04T11:08:34Z,896,9,2025-02-12T19:58:58Z,Java,97,3
axios,2014-08-18T22:30:27Z,934,87,2025-02-12T20:02:44Z,JavaScript,100,0
three.js,2010-03-23T18:58:01Z,13661,165,2025-02-12T22:19:02Z,JavaScript,100,0
create-react-app,2016-07-17T14:55:11Z,1947,83,2025-02-12T22:39:17Z,JavaScript,100,0
TypeScript,2014-06-17T15:28:39Z,14532,206,2025-02-12T22:41:53Z,TypeScript,99,1
nodebestpractices,2017-09-15T08:33:19Z,765,0,2025-02-13T00:28:24Z,Dockerfile,99,1
deno,2018-05-15T01:34:26Z,12313,309,2025-02-13T00:01:08Z,Rust,100,0
rust,2010-06-16T20:39:03Z,61071,134,2025-02-13T00:28:10Z,Rust,100,0
langchain,2022-10-17T02:58:36Z,13134,797,2025-02-13T00:21:34Z,Jupyter Notebook,100,0
