Nome,Estrelas,Criado em,Última Atualização,Releases
Snailclimb/JavaGuide,148709,2018-05-07T13:27:00Z,2025-03-16T12:42:36Z,0
krahets/hello-algo,110248,2022-11-04T11:08:34Z,2025-03-16T12:46:25Z,9
iluwatar/java-design-patterns,90999,2014-08-09T16:45:18Z,2025-03-16T07:27:46Z,0
macrozheng/mall,79480,2018-04-04T01:11:44Z,2025-03-16T12:02:44Z,3
doocs/advanced-java,77238,2018-10-06T11:38:30Z,2025-03-16T12:47:06Z,1
spring-projects/spring-boot,76449,2012-10-19T15:02:57Z,2025-03-16T11:58:27Z,300
MisterBooo/LeetCodeAnimation,75766,2018-12-06T08:01:22Z,2025-03-16T11:55:19Z,0
elastic/elasticsearch,71991,2010-02-08T13:20:56Z,2025-03-16T11:18:09Z,174
kdn251/interviews,64015,2017-02-14T18:19:25Z,2025-03-16T10:39:46Z,0
TheAlgorithms/Java,61092,2016-07-16T10:21:02Z,2025-03-16T12:19:11Z,0
spring-projects/spring-framework,57551,2010-12-08T04:04:45Z,2025-03-16T11:28:13Z,327
NationalSecurityAgency/ghidra,55367,2019-03-01T03:27:48Z,2025-03-16T12:36:15Z,42
Stirling-Tools/Stirling-PDF,54164,2023-01-27T18:22:42Z,2025-03-16T12:42:22Z,118
google/guava,50586,2014-05-29T16:23:17Z,2025-03-16T12:39:05Z,48
ReactiveX/RxJava,48041,2013-01-08T20:11:48Z,2025-03-16T06:06:12Z,235
skylot/jadx,43176,2013-03-18T17:08:21Z,2025-03-16T11:44:27Z,30
dbeaver/dbeaver,42254,2015-10-21T08:26:28Z,2025-03-16T12:18:33Z,219
jeecgboot/JeecgBoot,41859,2018-11-26T10:40:00Z,2025-03-16T12:26:57Z,54
apache/dubbo,40817,2012-06-19T07:56:02Z,2025-03-16T08:49:35Z,109
termux/termux-app,39753,2015-10-23T09:42:46Z,2025-03-16T12:14:33Z,91
PhilJay/MPAndroidChart,37861,2014-04-25T14:29:47Z,2025-03-16T09:35:55Z,44
eugenp/tutorials,37079,2013-04-29T18:26:36Z,2025-03-16T12:18:41Z,0
alibaba/arthas,36056,2018-08-29T17:15:57Z,2025-03-16T05:43:01Z,59
geekxh/hello-algorithm,35508,2020-05-29T05:47:09Z,2025-03-15T16:32:08Z,0
airbnb/lottie-android,35235,2016-10-06T22:42:42Z,2025-03-16T07:35:17Z,56
halo-dev/halo,34973,2018-03-21T12:56:52Z,2025-03-16T12:38:06Z,210
bumptech/glide,34815,2013-07-08T22:52:33Z,2025-03-16T09:55:56Z,47
netty/netty,33872,2010-11-09T09:22:21Z,2025-03-16T12:01:30Z,0
Blankj/AndroidUtilCode,33488,2016-07-30T18:18:32Z,2025-03-16T12:25:21Z,117
xkcoding/spring-boot-demo,33483,2017-11-10T06:27:29Z,2025-03-16T12:05:54Z,0
doocs/leetcode,33286,2018-09-16T14:03:03Z,2025-03-16T12:11:35Z,21
TeamNewPipe/NewPipe,33221,2015-09-03T23:39:26Z,2025-03-16T11:34:48Z,135
alibaba/easyexcel,33199,2018-02-06T03:14:08Z,2025-03-16T11:08:09Z,14
zxing/zxing,33157,2011-10-12T14:07:27Z,2025-03-16T10:51:43Z,31
SeleniumHQ/selenium,31828,2013-01-14T21:40:56Z,2025-03-16T12:22:24Z,102
