Repo Name,URL,Stars,LOC,Releases,Age (Years)
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,148903,102,0,6.89
krahets/hello-algo,https://github.com/krahets/hello-algo,111046,2,9,2.39
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,91094,-51,0,10.64
macrozheng/mall,https://github.com/macrozheng/mall,79674,0,3,6.98
doocs/advanced-java,https://github.com/doocs/advanced-java,77321,0,1,6.48
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,76598,11,303,12.44
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,75779,1,0,6.31
elastic/elasticsearch,https://github.com/elastic/elasticsearch,72131,10,177,15.14
kdn251/interviews,https://github.com/kdn251/interviews,64043,1,0,8.12
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,61167,459,0,8.7
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,57653,11,328,14.31
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,55760,6,42,6.08
Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,54953,1,120,2.16
google/guava,https://github.com/google/guava,50617,0,54,10.83
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,48053,0,235,12.22
skylot/jadx,https://github.com/skylot/jadx,43323,0,30,12.03
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,42454,-1,220,9.44
jeecgboot/JeecgBoot,https://github.com/jeecgboot/JeecgBoot,42032,0,54,6.34
apache/dubbo,https://github.com/apache/dubbo,40856,0,109,12.78
termux/termux-app,https://github.com/termux/termux-app,40052,43,91,9.43
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,37878,-3,44,10.93
eugenp/tutorials,https://github.com/eugenp/tutorials,37107,2,0,11.92
alibaba/arthas,https://github.com/alibaba/arthas,36101,-14,59,6.58
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,35539,9,0,4.83
airbnb/lottie-android,https://github.com/airbnb/lottie-android,35260,0,57,8.47
halo-dev/halo,https://github.com/halo-dev/halo,35081,341,211,7.02
bumptech/glide,https://github.com/bumptech/glide,34828,11,47,11.72
netty/netty,https://github.com/netty/netty,33924,106,0,14.39
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,33529,1,0,7.38
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,33509,99,117,8.66
doocs/leetcode,https://github.com/doocs/leetcode,33419,170,21,6.53
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,33315,1085,135,9.57
alibaba/easyexcel,https://github.com/alibaba/easyexcel,33245,14,14,7.14
zxing/zxing,https://github.com/zxing/zxing,33194,2,31,13.46
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,31960,15,103,12.2
alibaba/nacos,https://github.com/alibaba/nacos,31045,360,79,6.79
binarywang/WxJava,https://github.com/binarywang/WxJava,30794,-1,30,9.23
ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,30410,0,0,8.39
YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,29998,-1,34,4.17
apache/kafka,https://github.com/apache/kafka,29761,-1,0,13.62
chinabugotech/hutool,https://github.com/chinabugotech/hutool,29668,-21,149,10.96
apolloconfig/apollo,https://github.com/apolloconfig/apollo,29402,0,41,9.07
alibaba/canal,https://github.com/alibaba/canal,28920,65,32,12.21
wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,28696,6,0,6.91
xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,28508,8,36,9.33
alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,28328,0,47,7.32
alibaba/druid,https://github.com/alibaba/druid,28095,22,51,13.41
lenve/vhr,https://github.com/lenve/vhr,27684,-10,0,7.23
crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,27112,21,0,7.28
qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,26289,0,0,6.54
keycloak/keycloak,https://github.com/keycloak/keycloak,26189,-2,76,11.74
DrKLO/Telegram,https://github.com/DrKLO/Telegram,25947,4473,95,11.42
alibaba/fastjson,https://github.com/alibaba/fastjson,25772,0,84,13.41
apache/incubator-seata,https://github.com/apache/incubator-seata,25556,2,42,6.25
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,25531,0,0,12.07
hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,25421,0,0,6.42
