repository,pr_number,title,created_at,closed_or_merged_at,review_count,additions,deletions,comments,participants,description_length
codecrafters-io/build-your-own-x,10,readme: Add my tutorial on shell,2018-05-11 10:08:57+00:00,2018-05-12 07:55:36+00:00,3,1,0,1,2,193
codecrafters-io/build-your-own-x,16,Add: Generate SVG images in C,2018-05-12 08:21:04+00:00,2018-05-13 10:53:26+00:00,1,1,0,1,2,0
codecrafters-io/build-your-own-x,35,"Add ""Build your own Window Manager""",2018-05-13 14:44:31+00:00,2018-05-14 06:51:54+00:00,1,1,0,1,2,0
codecrafters-io/build-your-own-x,59,added 'Build your own CI server' title & one item,2018-05-14 14:37:35+00:00,2018-05-15 13:35:32+00:00,3,1,0,1,2,74
codecrafters-io/build-your-own-x,63,Update README.md,2018-05-14 17:30:12+00:00,2018-05-14 18:55:00+00:00,2,2,1,1,2,19
codecrafters-io/build-your-own-x,137,Added a New Category : Text Editor,2018-05-24 05:49:20+00:00,2018-05-24 09:21:06+00:00,1,9,1,1,3,104
jwasham/coding-interview-university,3,Fixed typo,2016-10-06 10:08:17+00:00,2016-10-06 16:40:31+00:00,1,1,1,0,3,0
jwasham/coding-interview-university,6,License.md Added,2016-10-06 15:49:06+00:00,2016-10-06 21:20:55+00:00,1,21,0,1,3,0
jwasham/coding-interview-university,9,Adding more descriptive links.,2016-10-06 19:24:59+00:00,2016-10-06 21:25:38+00:00,1,87,102,5,3,115
jwasham/coding-interview-university,23,Pull request with fixed mis-formatted & Go resources,2016-10-09 01:36:16+00:00,2016-10-09 03:32:02+00:00,1,10,1,1,3,38
jwasham/coding-interview-university,38,Add a tutorial on Udemy.,2016-10-15 16:08:41+00:00,2016-10-16 02:17:14+00:00,2,3,0,2,2,152
kamranahmedse/developer-roadmap,25,Fix some issues,2017-03-19 13:32:51+00:00,2017-03-23 05:14:20+00:00,1,2,2,2,4,120
donnemartin/system-design-primer,10,Fix typo in Study Guide section,2017-03-09 10:50:34+00:00,2017-03-10 00:36:12+00:00,1,2,2,1,2,78
donnemartin/system-design-primer,11,Fix typo - lobsided -> lopsided,2017-03-09 14:21:29+00:00,2017-03-10 00:37:40+00:00,1,1,1,1,2,0
donnemartin/system-design-primer,13,Add Dyn DDoS attack link,2017-03-10 04:30:56+00:00,2017-03-11 02:07:51+00:00,1,1,1,1,2,3
donnemartin/system-design-primer,14,Fix multiple typos,2017-03-10 07:53:56+00:00,2017-03-11 02:06:35+00:00,1,8,8,1,3,0
donnemartin/system-design-primer,23,Fix #6: Migrate links from exercises/solutions to use internal links,2017-03-16 22:49:05+00:00,2017-03-19 19:23:03+00:00,1,35,35,2,2,224
donnemartin/system-design-primer,24,"Delete duplicate word ""does"" in design exercises",2017-03-18 04:17:42+00:00,2017-03-18 15:37:17+00:00,1,3,3,1,2,0
donnemartin/system-design-primer,25,Fix typo JSS -> JS,2017-03-18 16:45:40+00:00,2017-03-19 19:24:13+00:00,1,1,1,1,2,35
donnemartin/system-design-primer,26,Declare variable key in the get_user example,2017-03-19 22:54:10+00:00,2017-03-21 11:39:11+00:00,1,1,0,1,2,212
donnemartin/system-design-primer,29,Fix typo,2017-03-22 16:44:21+00:00,2017-03-23 02:53:16+00:00,2,1,1,1,3,0
donnemartin/system-design-primer,33,Fix typos,2017-03-23 22:30:10+00:00,2017-03-24 02:42:03+00:00,1,2,2,1,2,0
donnemartin/system-design-primer,34,change the service discovery documenation example to use consul/etcd,2017-03-24 11:32:50+00:00,2017-03-26 17:02:10+00:00,2,4,1,4,3,81
donnemartin/system-design-primer,35,Explain difference between PUT & PATCH,2017-03-25 22:50:04+00:00,2017-03-29 10:19:15+00:00,1,2,0,2,2,134
donnemartin/system-design-primer,36,"Update service discovery section to include consul, etcd, and additional details",2017-03-26 16:58:09+00:00,2017-03-28 11:45:13+00:00,3,1,1,1,5,0
donnemartin/system-design-primer,50,Change AP wording for clarity,2017-04-04 08:27:14+00:00,2017-04-04 09:56:39+00:00,1,1,1,1,2,287
donnemartin/system-design-primer,62,zh-cn: Add Simplified Chinese translation v1.0,2017-04-15 07:44:20+00:00,2017-04-15 13:32:32+00:00,1,1797,0,4,2,122
donnemartin/system-design-primer,64,zh-cn: Rename README-zh-Hant.md to README-zh-Hans.md,2017-04-16 03:17:12+00:00,2017-04-16 21:49:16+00:00,1,0,0,2,2,84
donnemartin/system-design-primer,69,Fix asynchronism link in mint README,2017-04-22 00:06:53+00:00,2017-05-16 04:10:52+00:00,2,1,1,1,3,0
donnemartin/system-design-primer,74,Fix lowercase typo in Layer 7 load balancing title,2017-05-02 19:28:31+00:00,2017-05-16 04:17:24+00:00,1,1,1,1,2,50
donnemartin/system-design-primer,75,Fix typo,2017-05-09 13:31:23+00:00,2017-05-27 00:32:45+00:00,1,1,1,1,2,0
donnemartin/system-design-primer,78,Add license disclaimer,2017-05-18 08:42:10+00:00,2017-05-27 00:34:53+00:00,1,10,0,0,2,27
donnemartin/system-design-primer,81,Fix #79: Inaccuracy in Twitter timeline and search example,2017-05-25 01:47:16+00:00,2017-05-27 00:31:32+00:00,1,1,1,1,2,0
996icu/996.ICU,110,"Add the legal provisions, 😀",2019-03-27 06:21:02+00:00,2019-03-27 08:04:40+00:00,1,13,4,2,4,0
996icu/996.ICU,242,en_US,2019-03-27 07:07:12+00:00,2019-03-28 02:53:55+00:00,2,16,0,2,4,19
996icu/996.ICU,324,添加了国际五一劳动节的历史渊源，以及国际歌歌词,2019-03-27 07:35:37+00:00,2019-03-27 15:47:19+00:00,1,78,0,4,6,23
996icu/996.ICU,605,Create 加班公司名单,2019-03-27 09:08:15+00:00,2019-03-28 02:53:22+00:00,1,1,0,6,8,0
996icu/996.ICU,693,blacklist and template,2019-03-27 09:34:09+00:00,2019-03-28 02:35:14+00:00,2,15,0,0,3,37
996icu/996.ICU,857,当前已知的公司名单,2019-03-27 10:12:11+00:00,2019-03-28 02:35:36+00:00,2,4,0,7,11,0
996icu/996.ICU,877,fix grammar error,2019-03-27 10:18:17+00:00,2019-03-27 12:30:13+00:00,1,1,1,0,3,17
996icu/996.ICU,932,fix grammer issue in English version,2019-03-27 10:43:35+00:00,2019-03-27 14:23:02+00:00,1,1,1,0,2,17
996icu/996.ICU,992,translate “工作 996，生病 ICU” to english version.,2019-03-27 11:06:59+00:00,2019-03-28 02:43:08+00:00,7,3,0,27,31,88
996icu/996.ICU,1644,曝光996公司及部门，欢迎曝光和投票,2019-03-27 15:14:41+00:00,2019-03-28 08:05:51+00:00,1,5,0,114,106,68
996icu/996.ICU,1739,fix english translation,2019-03-27 18:29:15+00:00,2019-03-28 00:45:44+00:00,2,8,7,1,3,23
vinta/awesome-python,1,Added wand lib to Imagery list,2014-06-30 02:22:27+00:00,2014-06-30 04:12:56+00:00,1,2,1,1,3,0
practical-tutorials/project-based-learning,36,Build A Support Ticket Application With AdonisJs,2017-07-11 03:56:03+00:00,2017-07-11 14:07:37+00:00,1,4,0,0,2,0
practical-tutorials/project-based-learning,37,Added Thinkster.io to Additional Resources,2017-07-12 23:53:49+00:00,2017-07-13 03:41:54+00:00,1,1,0,0,2,0
practical-tutorials/project-based-learning,38,Added Goodheads.io to Additional Resources,2017-07-13 09:37:03+00:00,2017-07-14 00:41:40+00:00,1,1,0,0,2,0
practical-tutorials/project-based-learning,56,"Javascript: ""How to write your own Virtual DOM""",2018-04-17 04:09:04+00:00,2018-04-17 15:36:03+00:00,1,1,0,0,1,0
trekhleb/javascript-algorithms,15,Add N queens problem bitwise solution,2018-05-24 11:13:23+00:00,2018-08-20 12:57:02+00:00,1,68,0,5,5,0
trekhleb/javascript-algorithms,28,Radix sort,2018-05-28 18:29:39+00:00,2018-05-29 05:38:20+00:00,1,150,0,2,3,122
trekhleb/javascript-algorithms,59,Fix typos,2018-06-09 08:25:57+00:00,2018-06-12 14:46:40+00:00,2,19,19,1,4,26
trekhleb/javascript-algorithms,67,added Bidirectional Conditional Insertion Sort,2018-06-13 20:22:41+00:00,2018-06-14 15:45:28+00:00,2,1605,1386,2,2,1031
Significant-Gravitas/AutoGPT,19,Chaos/model args,2023-04-02 00:52:56+00:00,2023-04-02 10:34:35+00:00,4,175,118,5,2,62
Significant-Gravitas/AutoGPT,32,fix typo in browse.py,2023-04-02 15:34:16+00:00,2023-04-02 22:52:40+00:00,1,2,2,0,2,19
Significant-Gravitas/AutoGPT,33,Add documentation,2023-04-02 17:06:08+00:00,2023-04-10 11:07:42+00:00,7,84,15,13,7,250
Significant-Gravitas/AutoGPT,36,implements #13,2023-04-02 18:20:26+00:00,2023-04-04 23:20:05+00:00,2,0,0,6,6,0
Significant-Gravitas/AutoGPT,39,Remove `keys.py` and replace with `python-dotenv`,2023-04-02 19:05:24+00:00,2023-04-02 22:41:08+00:00,1,40,27,4,3,454
Significant-Gravitas/AutoGPT,41,Fix mistake in docs,2023-04-02 19:15:53+00:00,2023-04-02 22:25:01+00:00,1,3,2,2,3,126
Significant-Gravitas/AutoGPT,44,Add Dockerfile and update requirements.txt.,2023-04-02 20:54:57+00:00,2023-04-02 22:21:25+00:00,1,16,8,1,3,420
Significant-Gravitas/AutoGPT,45,Makes it possible to use gpt-3.5,2023-04-02 21:42:14+00:00,2023-04-03 10:43:38+00:00,13,658,168,45,11,544
Significant-Gravitas/AutoGPT,49,devops cleanups,2023-04-02 23:08:23+00:00,2023-04-14 21:27:03+00:00,1,540,16,1,3,298
Significant-Gravitas/AutoGPT,50,don't depend on the path script is run from,2023-04-02 23:09:10+00:00,2023-04-04 09:04:29+00:00,6,2,2,0,4,253
Significant-Gravitas/AutoGPT,59,Minor tweak to make ELEVEN_LABS_API_KEY optional,2023-04-03 05:56:28+00:00,2023-04-09 13:48:03+00:00,1,5,0,3,4,123
Significant-Gravitas/AutoGPT,72,Fix JSON string escaping issue,2023-04-03 13:58:45+00:00,2023-04-15 21:01:39+00:00,6,1,1,3,7,96
Significant-Gravitas/AutoGPT,81,Fix: create file dir if it doesnt exist during write_to_file,2023-04-03 15:48:57+00:00,2023-04-03 23:27:37+00:00,1,3,0,0,3,23
Significant-Gravitas/AutoGPT,85,"Use Python 3 Pathlib standards, increased error handling",2023-04-03 16:31:34+00:00,2023-07-07 05:18:09+00:00,5,35,37,3,5,692
Significant-Gravitas/AutoGPT,86,Work around install errors,2023-04-03 16:34:12+00:00,2023-04-04 10:44:54+00:00,1,4,2,2,3,146
Significant-Gravitas/AutoGPT,87,Improve extract_hyperlinks to honor base url,2023-04-03 16:52:42+00:00,2023-04-15 21:21:59+00:00,3,34,6,3,5,0
Significant-Gravitas/AutoGPT,94,Fix Issue with command hallucination 💭,2023-04-03 18:46:04+00:00,2023-04-04 09:05:36+00:00,1,1,0,0,2,58
Significant-Gravitas/AutoGPT,96,Use playwright instead of requests for browse,2023-04-03 19:12:41+00:00,2023-04-15 22:31:45+00:00,2,115,58,2,3,360
Significant-Gravitas/AutoGPT,98,Fix googlesearch dependency issue,2023-04-03 19:13:08+00:00,2023-04-04 10:20:28+00:00,4,3,18,1,5,320
Significant-Gravitas/AutoGPT,100,Fix .gitignore to include the correct path to auto_gpt_workspace,2023-04-03 19:21:00+00:00,2023-04-06 06:42:19+00:00,1,1,1,1,2,0
Significant-Gravitas/AutoGPT,102,fix: UnboundLocalError: local variable 'assistant_thoughts_reasoning' referenced before assignment,2023-04-03 20:02:08+00:00,2023-04-03 23:38:35+00:00,5,30,45,1,3,373
Significant-Gravitas/AutoGPT,105,Fix delete memory error,2023-04-03 21:03:53+00:00,2023-04-15 21:29:04+00:00,3,3,3,3,5,166
Significant-Gravitas/AutoGPT,107,Integrates Arxiv search and summarisation as available action.,2023-04-03 21:10:42+00:00,2023-04-05 12:38:51+00:00,2,256,35,3,4,179
Significant-Gravitas/AutoGPT,108,Add 'r' command to retry last action,2023-04-03 21:23:22+00:00,2023-04-22 22:40:16+00:00,3,2,0,8,5,127
Significant-Gravitas/AutoGPT,111,Added support for Google Custom Search API,2023-04-03 21:33:37+00:00,2023-04-03 23:24:52+00:00,4,101,12,8,8,1031
Significant-Gravitas/AutoGPT,112,fix: OpenAPI key variable name typo,2023-04-03 21:36:05+00:00,2023-04-04 01:26:10+00:00,3,1,1,0,4,0
Significant-Gravitas/AutoGPT,115,Introduce check to OPENAI_API_KEY,2023-04-03 22:16:41+00:00,2023-04-10 12:12:26+00:00,2,11,1,0,3,62
Significant-Gravitas/AutoGPT,116,Prompt engineering adjustments,2023-04-03 22:34:09+00:00,2023-04-20 18:08:42+00:00,2,4,3,4,5,447
Significant-Gravitas/AutoGPT,120,Added and an input for User Advice on each iteration of the loop,2023-04-03 23:21:48+00:00,2023-04-11 18:17:57+00:00,3,20,2,7,4,374
Significant-Gravitas/AutoGPT,121,Use selenium for web browsing,2023-04-03 23:25:15+00:00,2023-04-15 21:14:29+00:00,2,95,148,8,8,350
Significant-Gravitas/AutoGPT,122,Pinecone Vectorized Memory,2023-04-04 00:31:46+00:00,2023-04-06 10:31:58+00:00,14,153,29,24,17,356
Significant-Gravitas/AutoGPT,124,First draft at adding persistent memory via sqlite3,2023-04-04 00:46:11+00:00,2023-04-15 21:42:15+00:00,4,138,11,22,12,319
twbs/bootstrap,12,Give docs page some ellipsis and apostrophe love,2011-08-20 01:18:57+00:00,2011-08-20 02:20:11+00:00,3,29,29,1,4,112
jackfrued/Python-100-Days,6,Update PEP 8风格指南.md,2018-06-04 11:46:43+00:00,2018-06-25 14:35:05+00:00,1,1,1,3,3,0
jackfrued/Python-100-Days,32,修正IndentationError,2019-04-24 11:11:20+00:00,2019-05-03 13:22:00+00:00,1,3,3,2,4,0
trimstray/the-book-of-secret-knowledge,1,Typo fix in README.md,2018-07-13 23:43:59+00:00,2018-08-04 10:37:18+00:00,3,1,1,1,4,33
trimstray/the-book-of-secret-knowledge,3,Update README.md,2018-11-06 17:56:43+00:00,2018-11-06 21:49:08+00:00,3,2,0,3,5,73
trimstray/the-book-of-secret-knowledge,4,Add new tools,2018-11-07 16:19:39+00:00,2018-11-08 07:23:14+00:00,7,3,0,1,2,50
trimstray/the-book-of-secret-knowledge,32,Add dkimvalidator.com under mail section (and other important tools).,2018-12-22 08:14:29+00:00,2018-12-23 10:14:21+00:00,1,6,0,1,3,0
trimstray/the-book-of-secret-knowledge,38,Added PbScan in network section,2018-12-26 22:58:06+00:00,2018-12-27 08:39:14+00:00,1,1,0,2,3,0
trimstray/the-book-of-secret-knowledge,43,Adding Etherate to 'Networking',2018-12-28 09:40:28+00:00,2019-01-04 10:57:51+00:00,1,1,0,0,3,0
trimstray/the-book-of-secret-knowledge,61,Add CLI creators to CLI section,2019-01-14 17:16:48+00:00,2019-02-13 08:49:37+00:00,1,1,0,2,3,0
Snailclimb/JavaGuide,74,Update README.md,2018-12-07 08:50:19+00:00,2018-12-07 12:31:27+00:00,1,1,1,1,2,4
airbnb/javascript,33,Arrays example is very confusing,2012-11-19 15:51:10+00:00,2012-11-22 22:12:06+00:00,1,33,5,1,3,31
huggingface/transformers,32,Fix ineffective no_decay bug when using BERTAdam,2018-11-18 08:21:37+00:00,2018-11-20 09:11:47+00:00,1,2,2,3,4,126
huggingface/transformers,91,run_classifier.py improvements,2018-12-05 17:22:31+00:00,2018-12-11 10:12:05+00:00,3,24,30,1,2,350
huggingface/transformers,96,BertForMultipleChoice and Swag dataset example.,2018-12-06 18:34:05+00:00,2018-12-13 11:05:12+00:00,1,658,7,14,7,808
huggingface/transformers,124,Add example for fine tuning BERT language model,2018-12-18 09:48:12+00:00,2019-01-07 11:03:51+00:00,7,678,4,12,5,898
huggingface/transformers,145,Correct the  wrong note,2018-12-22 12:31:58+00:00,2019-01-07 11:23:06+00:00,1,1,1,1,3,30
ollama/ollama,1,refactor,2023-06-27 19:29:54+00:00,2023-06-27 20:49:08+00:00,3,196,216,0,2,0
ollama/ollama,3,use poetry,2023-06-27 21:44:37+00:00,2023-06-28 14:36:35+00:00,1,1363,22,0,3,260
ollama/ollama,7,add prompt templates as j2 templates,2023-06-27 22:50:30+00:00,2023-06-28 14:37:03+00:00,1,196,440,0,3,147
ollama/ollama,10,add with symlink,2023-06-28 16:26:42+00:00,2023-06-30 18:54:22+00:00,2,4,2,1,2,0
ollama/ollama,15,batch model,2023-06-28 21:34:34+00:00,2023-06-29 00:10:39+00:00,1,22,13,0,2,139
ollama/ollama,16,update python version,2023-06-28 21:46:35+00:00,2023-06-29 00:12:03+00:00,1,166,356,1,2,49
ollama/ollama,17,use ctransformers as backup to llama.cpp,2023-06-29 00:26:07+00:00,2023-06-30 18:46:13+00:00,4,823,74,0,3,0
ollama/ollama,20,use difflib.get_close_matches,2023-06-29 16:43:57+00:00,2023-06-30 18:54:07+00:00,1,3,13,0,2,26
ollama/ollama,32,just in time install llama-cpp-python,2023-07-01 00:04:44+00:00,2023-07-06 16:30:31+00:00,1,33,7,0,2,0
ollama/ollama,37,upgrade fuzzy search library,2023-07-05 18:16:14+00:00,2023-07-05 19:16:19+00:00,3,28,31,1,2,141
ollama/ollama,49,Go run,2023-07-06 23:03:39+00:00,2023-07-07 00:18:58+00:00,1,235,187,1,2,0
ollama/ollama,52,pass model and predict options,2023-07-07 00:12:59+00:00,2023-07-07 17:59:11+00:00,3,151,16,1,3,0
ollama/ollama,56,"if directory cannot be resolved, do not fail",2023-07-07 19:28:14+00:00,2023-07-08 03:18:25+00:00,5,36,1,1,3,22
ollama/ollama,57,take all args as one prompt,2023-07-07 20:16:27+00:00,2023-07-10 10:05:09+00:00,1,11,12,3,3,549
ollama/ollama,58,return error in generate response,2023-07-07 21:27:14+00:00,2023-07-10 21:03:47+00:00,2,38,7,1,3,0
ollama/ollama,62,llama: replace bindings with `llama_*` calls,2023-07-10 02:44:43+00:00,2023-07-10 22:51:37+00:00,2,101,983,2,2,411
ollama/ollama,64,Do not seg fault on client disconnect,2023-07-10 11:46:30+00:00,2023-07-10 15:00:44+00:00,1,30,14,0,2,101
ollama/ollama,65,call llama.cpp directly from go,2023-07-10 20:36:56+00:00,2023-07-11 19:01:03+00:00,10,35552,1292,2,3,0
ollama/ollama,66,embeddings endpoint,2023-07-11 16:39:48+00:00,2023-08-10 15:49:55+00:00,11,85,31,6,4,0
ollama/ollama,67,app: write logs to ~/.ollama/logs,2023-07-11 17:42:13+00:00,2023-07-11 18:45:21+00:00,2,261,24,0,2,0
ollama/ollama,69,Use embeddings to give the chat client session memory,2023-07-11 20:53:44+00:00,2023-07-20 18:04:37+00:00,1,174,9,1,1,311
ollama/ollama,70,offline fixes,2023-07-11 20:57:54+00:00,2023-07-11 22:50:19+00:00,3,143,144,0,2,608
ollama/ollama,71,error checking new model,2023-07-12 00:09:31+00:00,2023-07-12 16:20:33+00:00,1,7,0,0,2,51
ollama/ollama,73,fix eof error in generate,2023-07-12 16:36:33+00:00,2023-07-12 18:09:23+00:00,1,16,20,0,1,20
ollama/ollama,74,Timings,2023-07-13 01:20:54+00:00,2023-07-13 17:17:14+00:00,1,117,32,0,2,0
ollama/ollama,77,continue conversation,2023-07-13 18:30:47+00:00,2023-07-14 21:57:42+00:00,1,47,10,0,2,32
ollama/ollama,78,basic distribution w/ push/pull,2023-07-14 00:19:28+00:00,2023-07-17 00:02:22+00:00,1,1154,214,0,2,733
vercel/next.js,8,Open tab when running next dev,2016-10-15 17:04:39+00:00,2016-10-17 01:49:33+00:00,10,12,1,2,3,0
vercel/next.js,9,Added async props test,2016-10-15 17:49:48+00:00,2016-10-16 04:32:58+00:00,1,24,1,0,2,0
vercel/next.js,12,Reverting default props for errors.,2016-10-16 04:56:23+00:00,2016-10-16 22:44:26+00:00,1,15,16,0,2,0
vercel/next.js,14,Added warning when pages dir is not present,2016-10-16 05:50:18+00:00,2016-10-17 01:04:35+00:00,1,11,2,0,2,134
vercel/next.js,15,Added next init command for starting a new project,2016-10-16 06:34:49+00:00,2016-10-16 23:55:30+00:00,1,57,0,0,2,122
vercel/next.js,34,Load client js from cdn with fallback,2016-10-17 08:36:50+00:00,2016-10-25 05:50:33+00:00,2,27,1,1,2,9
vercel/next.js,38,Added glamor css,2016-10-20 02:12:40+00:00,2016-10-21 16:39:20+00:00,2,87,109,0,2,24
vercel/next.js,39,Exposing glamor style as default,2016-10-22 07:46:33+00:00,2016-10-25 06:57:44+00:00,2,20,1,0,3,49
vercel/next.js,68,Use detect-port to check if 3000 is already used.,2016-10-25 20:37:42+00:00,2016-12-17 03:37:00+00:00,4,55,7,15,9,236
vercel/next.js,93,Add license MIT,2016-10-26 16:27:15+00:00,2016-10-29 10:56:46+00:00,11,21,0,1,5,0
vercel/next.js,97,Fix issue #85,2016-10-26 18:10:16+00:00,2016-10-26 23:49:05+00:00,1,3,0,1,3,460
vercel/next.js,101,README: improve getting started & contributing,2016-10-26 19:48:39+00:00,2017-01-05 17:30:31+00:00,3,56,38,9,5,175
massgravel/Microsoft-Activation-Scripts,284,Fix typo error message,2023-10-16 12:29:30+00:00,2023-10-21 00:12:15+00:00,2,1,1,0,4,58
labuladong/fucking-algorithm,61,English 翻译数据结构系列/单调队列.md,2020-02-29 09:27:49+00:00,2020-03-01 12:32:47+00:00,2,183,185,4,2,24
labuladong/fucking-algorithm,78,翻译了数据结构系列，二叉堆实现优先队列,2020-03-01 02:33:00+00:00,2020-03-01 05:09:21+00:00,3,213,216,1,2,117
labuladong/fucking-algorithm,87,The Longest Palindromic Substring.md English,2020-03-01 05:13:32+00:00,2020-03-01 11:10:42+00:00,1,119,104,4,2,82
labuladong/fucking-algorithm,89,translate the article UnionFind 算法应用,2020-03-01 07:02:12+00:00,2020-03-01 11:41:33+00:00,1,220,225,3,2,121
labuladong/fucking-algorithm,90,translate 数据结构系列/单调栈,2020-03-01 07:19:22+00:00,2020-03-01 12:43:16+00:00,1,122,119,0,2,13
labuladong/fucking-algorithm,97,translate 高频面试系列/座位调度.md ,2020-03-01 10:09:54+00:00,2020-03-02 11:17:15+00:00,1,223,0,2,2,28
labuladong/fucking-algorithm,98,translate 动态规划系列/编辑距离.md,2020-03-01 11:36:46+00:00,2020-03-01 13:10:20+00:00,1,271,263,2,2,21
labuladong/fucking-algorithm,107,算法学习之路全文翻译,2020-03-01 23:12:24+00:00,2020-03-02 04:06:58+00:00,1,94,81,5,2,36
labuladong/fucking-algorithm,115,translate 算法思路系列/双指针技巧,2020-03-02 05:38:31+00:00,2020-03-02 11:39:50+00:00,1,199,199,0,2,22
yangshun/tech-interview-handbook,1,Fix link,2017-09-25 06:25:27+00:00,2017-09-25 08:03:20+00:00,1,1,1,1,2,0
yangshun/tech-interview-handbook,3,Changed to gender neutral rather than male only,2017-09-25 21:27:24+00:00,2017-09-25 23:39:01+00:00,1,2,2,1,2,0
yangshun/tech-interview-handbook,9,return -1 if target is not in array,2017-09-28 16:00:37+00:00,2017-09-30 13:51:37+00:00,2,14,14,5,2,84
yangshun/tech-interview-handbook,17,"Grammar fixes for tense, punctuation and wording.",2017-10-01 15:57:48+00:00,2017-10-01 17:20:37+00:00,3,2,2,2,2,107
yangshun/tech-interview-handbook,30,Added Elevator Pitch section,2017-10-03 21:42:09+00:00,2017-10-04 17:00:29+00:00,2,17,0,4,2,0
yangshun/tech-interview-handbook,38,Create mergeSort.js,2017-10-09 18:01:44+00:00,2017-10-10 02:48:24+00:00,1,54,0,2,2,0
Chalarangelo/30-seconds-of-code,1,Added capitalize first letter of every word,2017-12-11 19:26:34+00:00,2017-12-12 13:37:53+00:00,2,9,0,1,2,0
Chalarangelo/30-seconds-of-code,5,simple ES6 unique array  values,2017-12-11 20:20:36+00:00,2017-12-12 00:29:50+00:00,1,2,8,1,3,0
Chalarangelo/30-seconds-of-code,7,Update unique-values-of-array.md,2017-12-12 00:47:57+00:00,2017-12-12 08:56:25+00:00,1,14,8,2,2,0
Chalarangelo/30-seconds-of-code,8,Replace the usage of ìndexOf` for `includes`,2017-12-12 01:34:13+00:00,2017-12-12 09:08:33+00:00,1,5,4,0,2,0
Chalarangelo/30-seconds-of-code,9,Update RGB to hexadecimal to new bitwise version,2017-12-12 01:55:09+00:00,2017-12-12 18:52:34+00:00,2,16,4,7,4,96
Chalarangelo/30-seconds-of-code,10,Capitalize first letter: safe against empty string,2017-12-12 02:29:46+00:00,2017-12-12 09:16:01+00:00,1,1,1,0,2,39
Chalarangelo/30-seconds-of-code,11,Fixes a typo,2017-12-12 06:44:04+00:00,2017-12-12 09:13:49+00:00,1,1,1,0,2,0
Chalarangelo/30-seconds-of-code,12,Add reverseString,2017-12-12 06:59:48+00:00,2017-12-12 09:25:35+00:00,1,9,1,2,2,0
Chalarangelo/30-seconds-of-code,13,Directly return object from arrow function,2017-12-12 07:11:37+00:00,2017-12-12 14:07:36+00:00,6,4,6,2,3,82
Chalarangelo/30-seconds-of-code,25,Create Check_for_palindrome.md,2017-12-12 10:39:03+00:00,2017-12-12 14:23:01+00:00,3,8,0,4,2,0
Chalarangelo/30-seconds-of-code,31,Anagrams recursion refactor (code legibility),2017-12-12 12:40:16+00:00,2017-12-12 16:23:00+00:00,1,11,7,2,2,107
Chalarangelo/30-seconds-of-code,37,Added async function chain,2017-12-12 16:30:27+00:00,2017-12-13 10:12:43+00:00,4,14,0,1,2,206
Chalarangelo/30-seconds-of-code,38,Add chunk array,2017-12-12 16:37:36+00:00,2017-12-13 10:04:56+00:00,2,13,0,1,2,146
Chalarangelo/30-seconds-of-code,42,get minimum value from an array,2017-12-12 17:53:37+00:00,2017-12-12 18:56:31+00:00,2,8,0,2,3,72
Chalarangelo/30-seconds-of-code,44,Refactor measure-time-taken-by-function from spread syntax to callback function,2017-12-12 18:25:00+00:00,2017-12-13 11:54:38+00:00,1,3,3,2,3,394
