owner,name,url,stars,total_pull_requests
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,415063,39548
codecrafters-io,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,367730,278
sindresorhus,awesome,https://github.com/sindresorhus/awesome,354508,2072
EbookFoundation,free-programming-books,https://github.com/EbookFoundation/free-programming-books,354417,10409
public-apis,public-apis,https://github.com/public-apis/public-apis,334831,2961
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,313945,1005
kamranahmedse,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,313086,5002
donnemartin,system-design-primer,https://github.com/donnemartin/system-design-primer,295371,329
996icu,996.ICU,https://github.com/996icu/996.ICU,270489,1983
vinta,awesome-python,https://github.com/vinta/awesome-python,239200,1547
facebook,react,https://github.com/facebook/react,234086,16941
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,223281,3036
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,223265,354
vuejs,vue,https://github.com/vuejs/vue,208641,2321
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,199064,10195
torvalds,linux,https://github.com/torvalds/linux,190899,634
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,190829,545
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,188994,41024
getify,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,181598,847
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,179641,554
ossu,computer-science,https://github.com/ossu/computer-science,177785,466
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,177344,7219
Significant-Gravitas,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,174120,5282
twbs,bootstrap,https://github.com/twbs/bootstrap,171883,15356
flutter,flutter,https://github.com/flutter/flutter,169524,59974
microsoft,vscode,https://github.com/microsoft/vscode,169518,37865
github,gitignore,https://github.com/github/gitignore,165476,4017
jackfrued,Python-100-Days,https://github.com/jackfrued/Python-100-Days,163446,200
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,162311,216
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,155413,466
AUTOMATIC1111,stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,150623,3178
Snailclimb,JavaGuide,https://github.com/Snailclimb/JavaGuide,149019,1462
airbnb,javascript,https://github.com/airbnb/javascript,146450,1567
huggingface,transformers,https://github.com/huggingface/transformers,142395,19062
avelino,awesome-go,https://github.com/avelino/awesome-go,141151,4702
ollama,ollama,https://github.com/ollama/ollama,135882,3004
ytdl-org,youtube-dl,https://github.com/ytdl-org/youtube-dl,134956,4468
vercel,next.js,https://github.com/vercel/next.js,130785,27405
massgravel,Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,129335,41
labuladong,fucking-algorithm,https://github.com/labuladong/fucking-algorithm,127451,464
golang,go,https://github.com/golang/go,126950,4111
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,124936,541
Chalarangelo,30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,123276,1619
