Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas
freeCodeCamp,2014-12-24T17:49:19Z,24278,0,2025-02-12T14:14:34Z,TypeScript,100,0
free-programming-books,2013-10-11T06:50:37Z,6786,0,2025-02-12T14:20:41Z,HTML,100,0
awesome,2014-07-11T13:42:37Z,661,0,2025-02-12T14:21:26Z,N/A,96,4
build-your-own-x,2018-05-09T12:03:18Z,140,0,2025-02-12T14:25:55Z,Markdown,100,0
public-apis,2016-03-20T23:49:42Z,1872,0,2025-02-12T14:20:44Z,Python,100,0
coding-interview-university,2016-06-06T02:34:12Z,415,0,2025-02-12T14:12:26Z,N/A,83,17
developer-roadmap,2017-03-15T13:45:52Z,3312,1,2025-02-12T14:21:45Z,TypeScript,100,0
system-design-primer,2017-02-26T16:15:28Z,199,0,2025-02-12T14:13:52Z,Python,38,62
996.ICU,2019-03-26T07:31:14Z,1068,0,2025-02-12T14:16:51Z,N/A,0,0
awesome-python,2014-06-27T21:00:06Z,543,0,2025-02-12T14:02:07Z,Python,0,0
react,2013-05-24T16:15:54Z,11331,103,2025-02-12T14:22:54Z,JavaScript,100,0
project-based-learning,2017-04-12T05:07:46Z,182,0,2025-02-12T14:19:55Z,N/A,61,39
awesome-selfhosted,2015-06-01T02:33:17Z,2393,1,2025-02-12T14:22:15Z,N/A,100,0
vue,2013-07-29T03:24:51Z,1136,249,2025-02-12T14:12:23Z,TypeScript,100,0
Python,2016-07-16T09:44:01Z,2910,0,2025-02-12T13:38:53Z,Python,100,0
javascript-algorithms,2018-03-24T07:47:04Z,299,0,2025-02-12T13:45:24Z,JavaScript,70,30
tensorflow,2015-11-07T01:19:20Z,28886,213,2025-02-12T14:21:22Z,C++,100,0
linux,2011-09-04T22:48:12Z,10,0,2025-02-12T14:25:22Z,C,0,0
You-Dont-Know-JS,2013-11-16T02:37:24Z,367,0,2025-02-12T13:17:24Z,N/A,99,1
CS-Notes,2018-02-13T14:56:24Z,374,0,2025-02-12T13:17:56Z,N/A,100,0
ohmyzsh,2009-08-28T18:15:37Z,3284,0,2025-02-12T14:16:34Z,Shell,100,0
computer-science,2014-05-04T00:18:39Z,281,0,2025-02-12T14:13:08Z,N/A,100,0
AutoGPT,2023-03-16T09:21:07Z,2569,40,2025-02-12T14:25:16Z,Python,100,0
